VoteChoice,Keywords
Enhance collection for accessories.,"[('accessories', 0.7324), ('collection', 0.5934), ('enhance', 0.3805)]"
Sales person was helpful an provided options as per my need,"[('sales', 0.4766), ('options', 0.4172), ('helpful', 0.3589)]"
Best ????,"[('best', 0.6431)]"
Keep up the good service.,"[('service', 0.4925), ('good', 0.2074)]"
Better sales representatives at Pheonix Marketcity mall - Viman Nagar,"[('mall', 0.5423), ('nagar', 0.5423), ('sales', 0.4955)]"
Good,"[('good', 1.0)]"
Good,"[('good', 1.0)]"
Thanks asha for help ??,"[('asha', 0.6168), ('help', 0.2658), ('thanks', 0.2423)]"
A little more variety in men’s T-shirts in regular fits ,"[('shirts', 0.5606), ('fits', 0.3891), ('men', 0.3848)]"
Thanks ,"[('thanks', 1.0)]"
Nice ,"[('nice', 1.0)]"
Good service and behave,"[('service', 0.6928), ('behave', 0.5821), ('good', 0.3196)]"
Nice interaction lovely helpful people ,"[('interaction', 0.4962), ('helpful', 0.4668), ('lovely', 0.3434)]"
Amazing service,"[('service', 0.6913), ('amazing', 0.5178)]"
Good ,"[('good', 1.0)]"
Excellent ??  ,"[('excellent', 0.6402)]"
All good,"[('good', 0.4393)]"
Good,"[('good', 1.0)]"
Good ,"[('good', 1.0)]"
Good,"[('good', 1.0)]"
Good,"[('good', 1.0)]"
Usufbhai was very helpful ,"[('usufbhai', 0.6825), ('helpful', 0.3074)]"
Good,"[('good', 1.0)]"
.,[]
Nice,"[('nice', 1.0)]"
Very good staff supporive staaf to find my choice collection,"[('staff', 0.5703), ('collection', 0.4924), ('choice', 0.415)]"
Better,"[('better', 1.0)]"
Very good experience...,"[('experience', 0.564), ('good', 0.2449)]"
Include more varieties of t shirts for women...as well as dress collection.,"[('shirts', 0.5703), ('dress', 0.3923), ('varieties', 0.3373)]"
Just see if you can make your product more affordable. Thanks to mr. Tausif for a good experience.,"[('affordable', 0.4664), ('tausif', 0.3411), ('product', 0.2913)]"
Good support Anil,"[('anil', 0.7108), ('support', 0.5821), ('good', 0.3029)]"
Everything is perfect and Aakash here helped me a lot to make the right decision ,"[('aakash', 0.6204), ('decision', 0.2636), ('helped', 0.2259)]"
Zainab are good jog and also good marketing skill,"[('zainab', 0.568), ('jog', 0.3796), ('skill', 0.3548)]"
Team mast ??????,"[('mast', 0.5935), ('team', 0.5566)]"
Very good service ????????,"[('service', 0.6188), ('good', 0.2062)]"
 it was great experience. Nikit assisted me politely and humbly ,"[('nikit', 0.4921), ('experience', 0.3575), ('assisted', 0.3219)]"
Good service satya ,"[('satya', 0.7791), ('service', 0.4955), ('good', 0.2247)]"
Need some new colour variants ,"[('colour', 0.6092), ('variants', 0.5866), ('new', 0.234)]"
Jyoti was sweet & helpfull in selecting products.  ,"[('jyoti', 0.6636), ('products', 0.3749), ('helpfull', 0.2416)]"
Continue launching new styles,"[('styles', 0.4974), ('launching', 0.4967), ('continue', 0.2851)]"
Continue launching new styles,"[('styles', 0.4974), ('launching', 0.4967), ('continue', 0.2851)]"
Ok,"[('ok', 1.0)]"
Veri good service by arun Rathod very energetic staff,"[('arun', 0.5525), ('veri', 0.4802), ('staff', 0.4372)]"
Deepika is great person and help ful. She is a good customer care taker,"[('deepika', 0.7193), ('customer', 0.3523), ('person', 0.2393)]"
Shubham helpful ,"[('shubham', 0.854), ('helpful', 0.3886)]"
Good expressions ,"[('expressions', 0.7347), ('good', 0.3944)]"
Goo,"[('goo', 1.0)]"
Salesman was polite and helpful.,"[('salesman', 0.6395), ('polite', 0.4811), ('helpful', 0.3368)]"
Good  ,"[('good', 1.0)]"
Nshxhdhensnjd,"[('nshxhdhensnjd', 1.0)]"
Good service by regar dipak bhai ...,"[('bhai', 0.5329), ('service', 0.4804), ('dipak', 0.3746)]"
Nice ,"[('nice', 1.0)]"
Excellent service & excellent style ,"[('service', 0.5049), ('style', 0.406), ('excellent', 0.3886)]"
Good collection ,"[('collection', 0.7376), ('good', 0.3926)]"
Good ,"[('good', 1.0)]"
Good ,"[('good', 1.0)]"
